ShortDescription,label
94,BASIC DRINKING WATER SUPPLY AND BASIC SANITATION
35,WATER SUPPLY AND SANITATION - LARGE SYSTEMS
35,WATER RESOURCES PROTECTION
32,SCIENTIFIC COOPERATION WITH OTHER COUNTRIES (NOT INCLUDED IN OTHER AREAS)
27,WATER RESOURCES POLICY/ADMIN. MGMT
26,WATER SUPPLY
22,WATER RESOURCES POLICY AND ADMINISTRATIVE MANAGEMENT
21,WATER SUPPLY & SANIT. - LARGE SYST.
21,WATER SUPPLY AND SANITATION -LARGE SYSTEMS
16,RURAL WATER SUPPLY
16,WASTE MANAGEMENT/DISPOSAL
15,GOVERNMENT CONTRIBUTIONS VIA NGO
15,ENHANCING CAPACITY OF REGIONAL INSTITUTIONS FOR INTEGRATED WATER RESOURCES MANAGEMENT IN SHARED WATER COURSES IN SADC/SUB SAHARA AFRICA
13,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS
11,RIVER DEVELOPMENT
10,EDUC./TRNG:WATER SUPPLY & SANITATION
10,EXCHANGES WITH OTHER COUNTRIES IN THE FIELD OF VOCATIONAL EDUCATION AND TRAINING AND SCHOLARSHIPS
10,STRATEGIC HUMAN RESOURCES DEVELOPMENT AND REGIONAL DIALOGUE IN THE WATER SECTOR OF THE MENA REGION
10,WATER RESOURCES POLICY/ADMINISTRATIVE MANAGEMENT
9,INTEGRATED SPECIALIST
9,FED. STATES CONTRIB.:  WATER
8,INTEGRATED EXPERTS
8,WATER SUPPLY & SANIT. - SMALL SYST.
8,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS"
7,TRANSNET - TRANSBOUNDARY MANAGEMENT OF NATURAL RESOURCES IN SADC REGION
6,BMZ TC: WATER
6,"WAVE - CAPACITY BUILDING FOR WATER SERVICE PROVIDERS IN KENYA, UGANDA, TANZANIA AND ZAMBIA"
6,DISSEMINATION OF DECENTRALISED WATER SYSTEMS
6,DEVELOPMENT EXPERT
6,TOWN WATER SUPPLY
5,WATER AND SEWERAGE
5,STRENGTHENING THE MENA WATER SECTOR THROUGH REGIONAL NETWORKING AND TRAINING (MENA WANT)
5,WAVE - CAPACITY BUILDING FOR WATER SERVICE PROVIDERS
5,REFORM OF THE WATER SECTOR IN THE MENA REGION
5,WATER SECTOR DEVELOPMENT PROGRAMME
5,DRINKING WATER STERILISATION
5,ENVIRONMENTALLY ORIENTED ENTREPRENEURSHIP IN ARAB COUNTRIES
5,INTEGRATED EXPERT
5,EDUCATION AND TRAINING IN WATER SUPPLY AND SANITATION
5,WATER SUPPLY PROGRAMME
5,DEVELOPMENT OF SUSTAINABLE WATER TECHNOLOGIES
4,MANAGEMENT AND IMPROVEMENT OF THE WATER-PURIFICATION INSTALLATIONS IN THE COUNTRY ACCORDING TO MODERN TECHNICAL STANDARDS.
4,PROMOTION OF FURTHER TRAINING INSTITUTES TO SUPPORT DEVELOPMENT PROCESSES IN THE WATER SECTOR OF MENA COUNTRIES
4,REFORM OF THE URBAN WATER AND SANITATION SECTOR
4,SMART WATER FUTURE INDIA - SWF INDIA
4,DEVELOPMENT OF THE WATER SECTOR
4,BUILD-UP OF KNOW-HOW IN WATERSHED-MANAGEMENT
4,IMPROVED WATER AND WASTEWATER PROGRAMME
4,"WATER SUPPLY, ARUSHA"
4,CONSULTANCY WITH REGARD TO FINANCIAL MANAGEMENT OF ZANZIBAR MUNICIPAL COUNCIL'S WASTE AND WATER SECTION.
4,DEVELOPMENT AID VOLUNTEER
3,IMPLEMENTATION OF A NEW GIS BASED SYSTEM FOR GATHERING AND COVERING RELEVANT SYSTEMIC DATA FOR THE WATER SUPPLY AUTHORITY.
3,ADVISORY SERVICES FOR THE IMPLEMENTATION OF THE INDIAN NATIONAL URBAN SANITATION POLICY
3,STRENGTHENING OF THE RELATIONSHIP OF HAMBURG WITH DAR ES SALAAM
3,TECHNOLOGICAL KEY INNOVATIONS
3,CP - WATER SUPPLY AND WASTEWATER MANAGEMENT
3,MANAGEMENT OF MUNICIPAL WATER UTILITIES (LATIN AMERICA)
3,WATER SECTOR REFORM PROGRAMME KENYA
3,SECTOR PROGRAM WATER AND SANITATION
3,FED. STATES CONTRIBUTIONS
3,RAIL TRANSPORT
3,ROAD TRANSPORT
3,TECHNICAL IMPROVEMENT OF THE IT SYSTEMS AND THEIR MANAGEMENT IN THE DECENTRALIZED QENA WATER AND WASTEWATER COMPANY
3,EDUCATION/TRAINING: WATER SUPPLY & SANITATION
3,"STRENGTHENING WATER SECTOR INSTITUTIONS THROUGH HUMAN CAPACITY BUILDING FOR BETTER SERVICE DELIVERY IN KENYA, TANZANIA, UGANDA, ZAMBIA AND SOUTH SUDAN"
3,PROTECTION OF THE JEITA SOURCE
3,THE EXPERT IS ASSIGNED FOR TRAINING AND LECTURING AT THE UNIVERSITY OF JUBA AT THE DEPARTMENT FOR WATER AND SOIL SCIENCES.
3,WATER SECTOR REFORM
3,SUPPLY OF POTABLE WATER FOR JARREE
3,COOPERATION WITH FOREIGN RESEARCH INSTITUTIONS (NOT INCLUDED IN OTHER AREAS)
3,INSTITUTIONAL SUPPORT FOR THE WATER SECTOR
3,"FUNDING FOR EXCHANGE OF SCIENTISTS, GRANTS"
3,"ESTABLISHMENT OF AN EFFECTIVE, EFFICIENT AND SYSTEMATIC OPERATION AND MAINTENANCE SYSTEM"
2,PROGRAMM D'EAU IIB
2,STRATEGIC ADVISORY SERVICE OF MINISTRY OF WATER RESOURCES
2,ENHANCING CAPACITY OF REGIONAL INSTITUTIONS FOR INTEGRATED WATER RESOURCES MANAGEMENT IN SHARED WATER COURSES IN SADC / SUB SAHARA AFRICA
2,DRINKING WATER SUPPLY AND SANITATION GUADALQUIVIR
2,RIVER BASINS DEVELOPMENT
2,WATER SUPPLY & SANITATION - LARGE SYSTEMS
2,"WATER SUPPLY FOR COMMUNITY NJIA PANDA, DISTRICT MOSHI RURAL, REGION KILIMANJARO, TANZANIA"
2,PROGRAM WATER SUPPLY AND WASTEWATER MANAGEMENT
2,WATER SUPPLY / SANITATION SERVICE QENA I
2,WATER SUPPLY/SEWAGE TREATMENT
2,STRENGTHENING OF ENVIRONMENTAL MANAGEMENT
2,PROGRAMME D'EAU
2,TRANSFER OF KNOW-HOW FOR THE TECHNOLOGICAL UTILIZATION OF WATER-RESOURCES AND CONTRIBUTION TO THE BUILD-UP OF THE CORRESPONDING INFRASTRUCTURE.
2,IMPROVED WATER AND WASTEWATER SERVICES PROGRAMME II (IWSP II)
2,SANITATION AND DRAINAGE PROGRAMME
2,"REFUGEES AID, WATER SUPPLY"
2,CONSULTANCY WITH REGARD TO FINANCIAL MANAGEMENT OF OF ZANZIBAR MUNICIPAL COUNCIL'S WASTE AND WATER SECTION.
2,WATER MANAGEMENT REFORM PROGRAMME
2,FED. STATES CONTRIB.:  WASTE MGMT
2,IDENTIFICATION OF SPECIFIC REQUIREMENTS REGARDING WATER RESOURCE MANAGEMENT OF CITIES ALONG WITH WATER SUPPLY AND WASTE WATER COMPANIES.
2,"DRINKING WATER/WASTE WATER ACTIVITIES, ORURO"
2,IMPROVEMENT OF HEALTH CONDITION OF ETHNIC MINOTIRITES
2,PRIVATISATION OF WASTE MANAGEMENT
