DonorName,RecipientName,RecipientCode,IncomegroupName,USD_Commitment_Defl,ShortDescription,AgencyName,FlowCode,SectorCode,ProjectTitle,PurposeName,SectorName,ChannelName,ChannelReportedName,ExpectedStartDate,CompletionDate,LongDescription,CommitmentDate,Recipientstat SI.SPR.PCAP,Recipientstat SI.POV.XPND.MD,Recipientstat SP.POP.TOTL,Recipientstat AG.SRF.TOTL.K2,year
Germany,West Bank and Gaza Strip,550,LMICs,7.380339999999999,SEWERAGE PROJECT NABLUS-WEST,Kreditanstalt für Wiederaufbau,11,140,SEWERAGE PROJECT NABLUS-WEST,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,MINISTRY OF PLANNING AND INTER,1998-01-01,2004-06-01,NaN,2002-01-01,0.0,0.0,3075373.0,6020.0,2002
Germany,Serbia,63,UMICs,3.68945,REHABILITATION IMPROVEMENT OF URBAN WATER SUPPLY,Kreditanstalt für Wiederaufbau,11,140,REHAB. OF URB.WATER SUPPLY III,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,UNITED NATIONS INTERIM ADM.,2002-05-01,2003-10-01,NaN,2002-02-01,0.0,0.0,7496522.0,88360.0,2002
Germany,Bolivia,428,LMICs,0.7376010000000001,DRINKING WATER SUPPLY,Kreditanstalt für Wiederaufbau,11,140,DRINKING WATER SUPPLY,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,MINISTERIO DE HACIENDA,1998-01-01,2003-11-01,NaN,2002-03-01,0.0,0.0,8742814.0,1098580.0,2002
Germany,Serbia,63,UMICs,7.380339999999999,REHABILITATION OF WATER SUPPLY IN BELGRADE,Kreditanstalt für Wiederaufbau,11,140,REH.OF WAT.SUPP.IN BELGR.&NIS2,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,REPUBLIC OF SERBIA PRIME MINI.,2002-05-01,2003-04-01,NaN,2002-04-01,0.0,0.0,7496522.0,88360.0,2002
Germany,Niger,260,LDCs,1.00031,WATER MEASURES: ANIMATION + SENSIBILISATION,Kreditanstalt für Wiederaufbau,11,140,RURAL WATER SUPPLY TAH.-A.II,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,MINISTERE DES FIN.ET DE L'ECON,2002-10-01,2006-12-01,NaN,2002-04-01,0.0,0.0,12189983.0,1267000.0,2002
Germany,Niger,260,LDCs,5.1660900000000005,CONSTRUCTION AND REHABILITATION OF WELLS,Kreditanstalt für Wiederaufbau,11,140,RURAL WATER SUPPLY TAH.-AGADII,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,MINISTERE DES FIN.ET DE L'ECON,2002-10-01,2006-12-01,NaN,2002-04-01,0.0,0.0,12189983.0,1267000.0,2002
Germany,Bosnia and Herzegovina,64,UMICs,5.53561,REHABILITATION OF WATER SUPPLY FOR CITY OF KAKANJ,Kreditanstalt für Wiederaufbau,11,140,REHAB.OF WAT.SUPPLY F.KAKANJ,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,MINISTRY OF FOREIGN TRADE,2002-09-01,2005-03-01,NaN,2002-04-01,0.0,0.0,3759387.0,51210.0,2002
Germany,Peru,454,UMICs,7.380339999999999,DRINKING WATER SUPPLY/WASTE WATER DISPOSAL,Kreditanstalt für Wiederaufbau,13,140,DRINK.WAT.SUP.-WASTE WAT.DISP.,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,MIN.DE ECON.Y FIN.DIR.GEN.DE,2002-05-01,2005-06-01,NaN,2002-05-01,0.0,0.0,27100968.0,1285220.0,2002
Germany,Peru,454,UMICs,4.05897,DRINKING WATER SUPPLY/WASTE WATER DISPOSAL,Kreditanstalt für Wiederaufbau,11,140,DRINK.WAT.SUPP.-WASTE WAT.DISP,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,MIN.DE ECON.Y FIN.DIR.GEN.DE,2002-05-01,2005-06-01,NaN,2002-05-01,0.0,0.0,27100968.0,1285220.0,2002
Germany,Bolivia,428,LMICs,0.632229,WASTE WATER DISPOSAL,Kreditanstalt für Wiederaufbau,13,140,WASTE WATER DISPOSAL,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,"MINISTERIO DE HACIENDA, EDIFIC",1997-01-01,2002-08-01,NaN,2002-05-01,0.0,0.0,8742814.0,1098580.0,2002
