DonorName,RecipientName,RecipientCode,IncomegroupName,USD_Commitment_Defl,ShortDescription,AgencyName,FlowCode,SectorCode,ProjectTitle,PurposeName,SectorName,ChannelName,ChannelReportedName,ExpectedStartDate,CompletionDate,LongDescription,CommitmentDate,Recipientstat SI.SPR.PCAP,Recipientstat SI.POV.XPND.MD,Recipientstat SP.POP.TOTL,Recipientstat AG.SRF.TOTL.K2,year
Germany,Indonesia,738,LMICs,7.8483,WATER SUPPLY,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-03,NaN,NaN,1982-06-01,0.0,0.0,154468229.0,1910930.0,1982
Germany,Haiti,349,LDCs,1.63506,WATER SUPPLY PROVINCIAL TOWNS,Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-02,NaN,NaN,1982-11-01,0.0,0.0,5910227.0,27750.0,1982
Germany,Haiti,349,LDCs,3.27013,"DRINK. WATER & SANITATION, TOWNS",Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-12-01,0.0,0.0,5910227.0,27750.0,1982
Germany,Somalia,273,LDCs,11.9905,"WATER SUPP.,PREP. PROJECT",Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-11-01,0.0,0.0,6608044.0,637660.0,1982
Germany,Kenya,248,LMICs,1.52606,"WATER SUPPLY, MALINDI",Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-01,NaN,NaN,1982-10-01,0.0,0.0,17736326.0,580370.0,1982
Germany,Kenya,248,LMICs,15.5876,WATER SUPPLY KERICHO,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-04,NaN,NaN,1982-10-01,0.0,0.0,17736326.0,580370.0,1982
Germany,Kenya,248,LMICs,14.1705,MIN. WATER DEV. WORKSHOP,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-03,NaN,NaN,1982-10-01,0.0,0.0,17736326.0,580370.0,1982
Germany,Kenya,248,LMICs,41.4216,"BRIDGE-DAM-SYST.,GARSEN",Kreditanstalt für Wiederaufbau,13,140,NaN,River basins development,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-04,NaN,NaN,1982-10-01,0.0,0.0,17736326.0,580370.0,1982
Germany,Côte d'Ivoire,247,LMICs,16.3506,"WATER SUPP.,PROVINCIAL",Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-06-01,0.0,0.0,8764989.0,322460.0,1982
Germany,Liberia,251,LDCs,8.61133,"WATER SUPPLY, KAKATA",Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-11-01,0.0,0.0,1989483.0,111370.0,1982
Germany,Liberia,251,LDCs,9.53787,MONROVIA SEWERAGE,Kreditanstalt für Wiederaufbau,13,140,NaN,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-11-01,0.0,0.0,1989483.0,111370.0,1982
Germany,Rwanda,266,LDCs,4.6871800000000015,WATER SUPPLY SYST. MODERNISATION,Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-04,NaN,NaN,1982-10-01,0.0,0.0,5504842.0,26340.0,1982
Germany,Ghana,241,LMICs,7.6303,"WELL DRILL.,PUMPS MAINT./TRAINING",Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-04,NaN,NaN,1982-08-01,0.0,0.0,11676823.0,238540.0,1982
Germany,Ghana,241,LMICs,2.18008,2000 HAND PUMP WELLS,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1983-01-01,NaN,NaN,1982-08-01,0.0,0.0,11676823.0,238540.0,1982
Germany,Morocco,136,LMICs,17.4407,"DRINKING WATER, TIZNIT",Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-04,NaN,NaN,1982-06-01,0.0,0.0,20984009.0,446550.0,1982
Germany,Morocco,136,LMICs,27.4691,"DRINKING WATER,AL HOCEIMA",Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-06-01,0.0,0.0,20984009.0,446550.0,1982
Germany,Niger,260,LDCs,11.9905,SEWERAGE & SANITARY MEASURES,Kreditanstalt für Wiederaufbau,11,140,NaN,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-04,NaN,NaN,1982-10-01,0.0,0.0,6343523.0,1267000.0,1982
Germany,Burkina Faso,287,LDCs,3.92415,VILLAGE WATER SUPPLY,Kreditanstalt für Wiederaufbau,11,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-01,NaN,NaN,1982-02-01,0.0,0.0,7158255.0,274220.0,1982
Germany,Gambia,240,LDCs,8.72034,RURAL WATER SUPPLY,Kreditanstalt für Wiederaufbau,11,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-03,NaN,NaN,1982-03-01,0.0,0.0,678113.0,11300.0,1982
Germany,Cameroon,229,LMICs,4.36017,"WATER SUP., & VILLAGES",Kreditanstalt für Wiederaufbau,13,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-02,NaN,NaN,1982-01-01,0.0,0.0,9166816.0,475440.0,1982
Germany,Democratic Republic of the Congo,235,LDCs,2.3980900000000003,RUR. WATER SUPP. STUDY,Kreditanstalt für Wiederaufbau,11,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1982-01-02,NaN,NaN,1982-03-01,0.0,0.0,27717291.0,2344860.0,1982
Germany,Paraguay,451,UMICs,4.75031,RURAL WATER SUPPLY,Kreditanstalt für Wiederaufbau,13,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1981-01-02,NaN,NaN,1980-03-01,0.0,0.0,3181625.0,406750.0,1980
Germany,Maldives,655,UMICs,0.498782,"FEAS. ST.,WATER SUP./SEWERAGE/WASTE",Kreditanstalt für Wiederaufbau,11,140,NaN,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-02,NaN,NaN,1980-09-01,0.0,0.0,158272.0,300.0,1980
Germany,Tanzania,282,LDCs,2.37515,"WATER SUP. SYSTEM, HANDENI DISTRICT",Kreditanstalt für Wiederaufbau,11,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-02,NaN,NaN,1980-04-01,0.0,0.0,18538259.0,947300.0,1980
Germany,Indonesia,738,LMICs,6.88795,WATER SUPPLY SYSTEM/KUDUS,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-05,NaN,NaN,1980-06-01,0.0,0.0,147447836.0,1910930.0,1980
Germany,Mali,255,LDCs,8.313039999999999,"WATER SUPPLY, KATI",Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1981-01-02,NaN,NaN,1980-12-01,0.0,0.0,7090126.0,1240190.0,1980
Germany,Kenya,248,LMICs,10.6882,TOWN WATER SUPPLY,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-03,NaN,NaN,1980-09-01,0.0,0.0,16417197.0,580370.0,1980
Germany,Yemen,580,LDCs,53.441,WATER SUPPLY & SEWERAGE - IBB,Kreditanstalt für Wiederaufbau,11,140,NaN,Water supply and sanitation - large systems,I.4. Water Supply & Sanitation,NaN,REPUBLIC OF YEMEN,NaN,NaN,NaN,1980-09-01,0.0,0.0,7941898.0,527970.0,1980
Germany,Senegal,269,LDCs,10.6882,RURAL WATER SUPPLY,Kreditanstalt für Wiederaufbau,13,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-02,NaN,NaN,1980-04-01,0.0,0.0,5583165.0,196710.0,1980
Germany,Zambia,288,LDCs,32.0646,WATER SUPPLY CHIPATA,Kreditanstalt für Wiederaufbau,13,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-04,NaN,NaN,1980-05-01,0.0,0.0,5851825.0,752610.0,1980
Germany,Burkina Faso,287,LDCs,2.37515,WATER SUPPLY - KOUDOUGOU,Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-01,NaN,NaN,1980-09-01,0.0,0.0,6822843.0,274220.0,1980
Germany,Burkina Faso,287,LDCs,7.36298,VILLAGE WATER SUPPLY EQUIPMENT,Kreditanstalt für Wiederaufbau,11,140,NaN,Basic drinking water supply and basic sanitation,I.4. Water Supply & Sanitation,NaN,NaN,1980-01-02,NaN,NaN,1980-09-01,0.0,0.0,6822843.0,274220.0,1980
Germany,Somalia,273,LDCs,10.3319,WATER SUPPLY,Kreditanstalt für Wiederaufbau,11,140,NaN,Water sector policy and administrative management,I.4. Water Supply & Sanitation,NaN,NaN,1981-01-01,NaN,NaN,1980-09-01,0.0,0.0,6281134.0,637660.0,1980
