Country,Year,"Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,People using at least basic drinking water services (% of population),Households with water 30 minutes or longer away round trip (%),Households with water less than 30 minutes away round trip (%),Households with water on the premises (%),People using safely managed drinking water services (% of population),"Population, total",Public private partnerships investment in water and sanitation (current US$),Investment in water and sanitation with private participation (current US$),Expected to give gifts to get a water connection (% of firms),Percent of firms expected to give gifts to get a water connection,Delay in obtaining a water connections (days),Number of water insufficiencies in a typical month,Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",worldbank IncomeGroup
Angola,2004,0.0,0.0,0.0,45.3513358144059,0.0,0.0,0.0,0.0,18758145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Angola,2005,0.0,0.7057,0.0,46.3360177882994,0.0,0.0,0.0,0.0,19433602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Angola,2006,0.0,0.0,0.0,47.1502292032677,0.0,0.0,0.0,0.0,20149901.0,0.0,0.0,13.2,13.2,33.8,2.8,0.0,0.0,LMICs
Angola,2007,0.476824324324324,0.0,0.0,47.9614676062746,0.0,0.0,0.0,0.0,20905363.0,0.0,0.0,0.0,0.0,0.0,0.0,7079.52308697055,148.0,LMICs
Angola,2008,0.0,0.0,0.0,48.7704032007624,0.0,0.0,0.0,0.0,21695634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Angola,2009,0.0,0.0,0.0,49.5751637650709,0.0,0.0,0.0,0.0,22514281.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Angola,2010,0.0,0.0,0.0,50.3768413386117,0.0,0.0,0.0,0.0,23356246.0,0.0,0.0,50.0,50.0,17.91,2.4,0.0,0.0,LMICs
Angola,2016,0.0,0.0,0.0,55.0842762884068,15.6,46.1,34.5,0.0,28842484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Angola,2017,0.0,0.0,0.0,55.8429048722414,0.0,0.0,0.0,0.0,29816748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
Albania,2000,0.0,1.838,0.0,87.866618353128,0.0,0.0,0.0,49.2932408721018,3089027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LMICs
