Country,Year,"Annual freshwater withdrawals, total (% of internal resources)","Annual freshwater withdrawals, total (billion cubic meters)",Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,People using at least basic drinking water services (% of population),Households with water 30 minutes or longer away round trip (%),Households with water less than 30 minutes away round trip (%),Households with water on the premises (%),People using safely managed drinking water services (% of population),"Population, total",Public private partnerships investment in water and sanitation (current US$),Investment in water and sanitation with private participation (current US$),Expected to give gifts to get a water connection (% of firms),Percent of firms expected to give gifts to get a water connection,Delay in obtaining a water connections (days),Number of water insufficiencies in a typical month,Renewable internal freshwater resources per capita (cubic meters),"Renewable internal freshwater resources, total (billion cubic meters)",worldbank IncomeGroup
Angola,2011,0.0,0.0,0.0,51.174835352104,0.0,0.0,0.0,0.0,24220661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Angola,2012,0.0,0.0,0.0,51.9685422620709,0.0,0.0,0.0,0.0,25107931.0,0.0,0.0,0.0,0.0,0.0,0.0,5894.55180516467,148.0,UMICs
Angola,2013,0.0,0.0,0.0,52.7573468956564,0.0,0.0,0.0,0.0,26015780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Angola,2014,0.0,0.0,0.67913,53.5415088774555,0.0,0.0,0.0,0.0,26941779.0,0.0,0.0,0.0,0.0,0.0,0.0,5493.32692544171,148.0,UMICs
Angola,2015,0.0,0.0,0.0,54.3169268979247,0.0,0.0,0.0,0.0,27884381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Albania,2009,0.0,0.0,0.0,87.8534189124145,2.3,11.1,86.4,60.0476398835019,2927519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Albania,2010,0.0,0.0,0.0,87.8112853018009,0.0,0.0,0.0,61.9776584349106,2913021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Albania,2012,0.0,0.0,0.0,87.8604324687508,0.0,0.0,0.0,65.9013944663153,2900401.0,0.0,0.0,0.0,0.0,0.0,0.0,9274.57961847344,26.9,UMICs
Albania,2013,0.0,0.0,0.0,89.461087876539,0.0,0.0,0.0,67.8933392687702,2895092.0,0.0,0.0,0.0,2.4,0.0,0.7,0.0,0.0,UMICs
Albania,2014,0.0,0.0,6.468265,90.9812043833494,0.0,0.0,0.0,69.9037022596908,2889104.0,0.0,0.0,0.0,0.0,0.0,0.0,9310.84516168334,26.9,UMICs
Albania,2015,0.0,0.0,0.0,91.001022378025,0.0,0.0,0.0,69.9444998723732,2880703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Albania,2016,0.0,0.0,0.0,91.0203701494956,0.0,0.0,0.0,69.9843294767126,2876101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Albania,2017,0.0,0.0,0.0,91.0392276676191,0.0,0.0,0.0,70.0231498383663,2873457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2000,0.0,0.0,0.0,96.2130162258015,0.0,0.0,0.0,0.0,36870787.0,689900000.0,689900000.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2001,0.0,0.0,0.0,96.4621250050353,0.0,0.0,0.0,0.0,37275652.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2002,0.0,0.0,0.0,96.7051334707509,0.0,0.0,0.0,0.0,37681749.0,67000000.0,67000000.0,0.0,0.0,0.0,0.0,7749.10952249058,292.0,UMICs
Argentina,2003,0.0,0.0,0.0,96.9424714130131,0.0,0.0,0.0,0.0,38087868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2004,0.0,0.0,0.0,97.174845477258,0.0,0.0,0.0,0.0,38491972.0,34650000.0,34650000.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2005,0.0,0.0,0.0,97.4021783941008,0.0,0.0,0.0,0.0,38892931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2006,0.0,0.0,0.0,97.6247250313793,0.0,0.0,0.0,0.0,39289878.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,UMICs
Argentina,2007,0.0,0.0,0.0,97.842449361637,0.0,0.0,0.0,0.0,39684295.0,0.0,0.0,0.0,0.0,0.0,0.0,7358.07452293155,292.0,UMICs
Argentina,2008,0.0,0.0,0.0,98.0555690061007,0.0,0.0,0.0,0.0,40080160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2009,0.0,0.0,0.0,98.2640620076734,0.0,0.0,0.0,0.0,40482788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2010,0.0,0.0,0.0,98.468054196947,0.0,0.0,0.0,0.0,40788453.0,0.0,0.0,0.0,7.3,0.0,0.1,0.0,0.0,UMICs
Argentina,2011,0.0,37.69,0.0,98.6665742189186,0.0,0.0,0.0,0.0,41261490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2012,12.9075342465753,0.0,0.0,98.860739298373,0.0,0.0,0.0,0.0,41733271.0,0.0,0.0,0.0,0.0,0.0,0.0,6996.81556233634,292.0,UMICs
Argentina,2013,0.0,0.0,0.0,98.9304118079404,0.0,0.0,0.0,0.0,42202935.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2015,0.0,0.0,0.0,99.070133780485,0.0,0.0,0.0,0.0,43131966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Argentina,2016,0.0,0.0,0.0,99.078374648261,0.0,0.0,0.0,0.0,43590368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
Armenia,2017,0.0,0.0,0.0,99.9133765368804,0.0,0.0,0.0,86.4763548512362,2944809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2000,0.0,0.0,0.0,98.4590893692224,0.0,0.0,0.0,12.4093858584915,57821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2001,0.0,0.0,0.0,98.5364236215334,0.0,0.0,0.0,12.4191327552296,58494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2002,0.0,0.0,0.0,98.6137578738445,0.0,0.0,0.0,12.4288796519677,59080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2003,0.0,0.0,0.0,98.6910921261555,0.0,0.0,0.0,12.4386265487057,59504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2004,0.0,0.0,0.0,98.7684263784665,0.0,0.0,0.0,12.4483734454438,59681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2005,0.0,0.0,0.0,98.8457606307776,0.0,0.0,0.0,12.4581203421819,59562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2006,0.0,0.0,0.0,98.9230948830886,0.0,0.0,0.0,12.4678672389199,59107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
American Samoa,2007,0.0,0.0,0.0,99.0004291353997,0.0,0.0,0.0,12.477614135658,58365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UMICs
