DonorName,RecipientName,IncomegroupName,USD_Commitment_Defl,USD_Received_Defl,ShortDescription,ChannelName,ChannelReportedName,CommitmentDate
Germany,Tanzania,LDCs,18.5488,,RURAL WATER SUPPLY,,,1973-05-01
Germany,Tanzania,LDCs,31.1975,0.0,TOWN WATER SUPPLY,,,1974-04-01
Germany,Tanzania,LDCs,8.37007,0.0,TOWN WATER SUPPLY,,,1974-04-01
Germany,Tanzania,LDCs,27.6973,0.0,REGIONAL WATER SUPPLY,,,1974-12-01
Germany,Bolivia,LMICs,54.7859,0.0,TOWN WATER SUPPLY,,,1974-04-01
Germany,Kenya,LMICs,53.2879,0.0,MOMBASA/COSTAL AREA,,,1975-11-01
Germany,Ethiopia,LDCs,20.7391,0.0,TOWN WATER SUPPLY,,,1975-12-01
Germany,Ethiopia,LDCs,10.3695,,TOWN WATER SUPPLY,,,1975-12-01
Germany,Sudan,LDCs,11.153,0.0,WATER DEVELOPMENT,,,1976-04-01
Germany,Bolivia,LMICs,18.1236,,WATER SUPPLY,,,1976-03-01
Germany,Burundi,LDCs,0.529767,,WATER SUPPLY - BUJUMBURA,,,1976-08-01
Germany,Bangladesh,LDCs,3.24526,,WATER SUPPLY,,,1977-03-01
Germany,Lebanon,UMICs,27.0438,0.0,WATER SUPPLY,,,1977-09-01
Germany,Tanzania,LDCs,12.5754,,WATER SUPPLY SCH.IMPROVE.,,,1977-10-01
Germany,Kenya,LMICs,5.6792099999999985,0.0,WATER SUPPLY,,,1977-10-01
Germany,Egypt,LMICs,81.1315,0.0,WATERWORKS/DISTRIB.TRUNKS,,,1977-05-01
Germany,Burundi,LDCs,3.5157,,WATER SUPPLY - GITEGA,,,1977-05-01
Germany,Kenya,LMICs,6.760960000000002,0.0,WATER AND SEWERAGE,,,1977-10-01
Germany,Tanzania,LDCs,22.3112,,WATER SUPPLY SCH.IMPROVE.,,,1977-10-01
Germany,Tanzania,LDCs,2.22001,,WATER SUPPLY,,,1978-03-01
Germany,Tanzania,LDCs,4.04825,0.0,WATER SUPPLY,,,1978-03-01
Germany,Sudan,LDCs,2.61178,0.0,"CONSULTANT,SEWERAGE SYST.",,,1978-05-01
Germany,Rwanda,LDCs,5.22355,,KIGALI SEWAGE DRAINS,,,1978-12-01
Germany,Tanzania,LDCs,2.15273,,WATER SUPPLY TABORA,,,1979-12-01
Germany,Kenya,LMICs,10.6882,0.0,TOWN WATER SUPPLY,,,1980-09-01
Germany,Tanzania,LDCs,2.37515,,"WATER SUP. SYSTEM, HANDENI DISTRICT",,,1980-04-01
Germany,Burundi,LDCs,7.9798399999999985,,BUJUMBURA WATER SUPPLY,,,1981-02-01
Germany,Kenya,LMICs,11.3998,0.0,WATER SUPPLY,,,1981-11-01
Germany,Burundi,LDCs,3.4199300000000004,,RURAL WATER SUPPLY,,,1981-02-01
Germany,India,LMICs,26.2195,0.0,RURAL WATER SUPPLY,,,1981-12-01
Germany,Kenya,LMICs,1.52606,0.0,"WATER SUPPLY, MALINDI",,,1982-10-01
Germany,Kenya,LMICs,15.5876,0.0,WATER SUPPLY KERICHO,,,1982-10-01
Germany,Kenya,LMICs,14.1705,0.0,MIN. WATER DEV. WORKSHOP,,,1982-10-01
Germany,Rwanda,LDCs,4.6871800000000015,,WATER SUPPLY SYST. MODERNISATION,,,1982-10-01
Germany,Kenya,LMICs,41.4216,0.0,"BRIDGE-DAM-SYST.,GARSEN",,,1982-10-01
Germany,Tanzania,LDCs,21.2054,,"WATER SUPPLY, ARUSHA",,,1983-05-01
Germany,Tanzania,LDCs,1.06027,,"WATER SUPPLY, ARUSHA",,,1983-05-01
Germany,Egypt,LMICs,10.0726,0.0,CAIRO SEWERAGE DISPOSAL,,,1983-07-01
Germany,Colombia,UMICs,6.8917600000000006,0.0,WATER AND SEWERAGE,,,1983-03-01
Germany,Sudan,LDCs,4.13505,,WATER SUPPLY REFUGEE AREA,,,1983-10-01
Germany,Burundi,LDCs,21.8314,,WATER SUP./BUJUMBURA,,,1984-04-01
Germany,Kenya,LMICs,32.0194,0.0,WATER SUPPLY/MALINDI REGION,,,1984-09-01
Germany,Tanzania,LDCs,4.15837,,"WATER SUP,TANGA",,,1984-05-01
