"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"USD_GrantEquiv";"USD_Disbursement_Defl";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
301;"Germany";"Niger";"5";"260";"LDCs";23.3681;"";"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1973-09-01";"";"";"";"";"";""
326;"Germany";"Tanzania";"5";"282";"LDCs";18.5488;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";"";"";"";"";""
2692;"Germany";"Côte d'Ivoire";"5";"247";"LMICs";23.4362;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-10-01";"";0.0;"";"";"";""
2694;"Germany";"Benin";"5";"236";"LDCs";9.13099;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-02";"";"";"1974-11-01";"";0.0;"";"";"";""
2696;"Germany";"Liberia";"5";"251";"LDCs";15.2183;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.0;"";"";"";""
2706;"Germany";"Tanzania";"5";"282";"LDCs";31.1975;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";4.15916;"";"";"";""
2707;"Germany";"Tanzania";"5";"282";"LDCs";8.37007;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.0;"";"";"";""
2708;"Germany";"Tanzania";"5";"282";"LDCs";27.6973;0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";0.0;"";"";"";""
2709;"Germany";"Senegal";"5";"269";"LDCs";6.54235;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-02";"";"";"1974-02-01";"";3.12584;"";"";"";""
2711;"Germany";"Senegal";"5";"269";"LDCs";12.1746;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1974-02-01";"";"";"";"";"";""
2715;"Germany";"Bolivia";"5";"428";"LMICs";54.7859;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";1.01506;"";"";"";""
2737;"Germany";"Senegal";"5";"269";"LDCs";9.8919;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1974-01-02";"";"";"1974-05-01";"";0.0;"";"";"";""
5274;"Germany";"Burkina Faso";"5";"287";"LDCs";37.1575;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-02";"";"";"1975-10-01";"";0.0;"";"";"";""
5280;"Germany";"Mali";"5";"255";"LDCs";15.1222;"";"TOWN WATER SUPPLY CO";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-12-01";"";"";"";"";"";""
5281;"Germany";"Mali";"5";"255";"LDCs";13.826;"";"TOWN WATER SUPPLY CO";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-02";"";"";"1975-12-01";"";"";"";"";"";""
5285;"Germany";"Kenya";"5";"248";"LMICs";53.2879;0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";0.0;"";"";"";""
5286;"Germany";"Ethiopia";"5";"238";"LDCs";20.7391;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";0.0;"";"";"";""
