"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"USD_GrantEquiv";"USD_Disbursement_Defl";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
326;"Germany";"Tanzania";"5";"282";"LDCs";18.5488;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";"";"";"";"";""
2706;"Germany";"Tanzania";"5";"282";"LDCs";31.1975;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";4.15916;"";"";"";""
2707;"Germany";"Tanzania";"5";"282";"LDCs";8.37007;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.0;"";"";"";""
2708;"Germany";"Tanzania";"5";"282";"LDCs";27.6973;0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";0.0;"";"";"";""
2715;"Germany";"Bolivia";"5";"428";"LMICs";54.7859;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";1.01506;"";"";"";""
5285;"Germany";"Kenya";"5";"248";"LMICs";53.2879;0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";0.0;"";"";"";""
5286;"Germany";"Ethiopia";"5";"238";"LDCs";20.7391;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";0.0;"";"";"";""
5288;"Germany";"Ethiopia";"5";"238";"LDCs";10.3695;"";"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";"";"";"";"";""
7619;"Germany";"Sudan";"5";"278";"LDCs";11.153;0.0;"WATER DEVELOPMENT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-01";"";"";"1976-04-01";"";0.0;"";"";"";""
7624;"Germany";"Bolivia";"5";"428";"LMICs";18.1236;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1978-01-01";"";"";"1976-03-01";"";"";"";"";"";""
7630;"Germany";"Burundi";"5";"228";"LDCs";0.529767;"";"WATER SUPPLY - BUJUMBURA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-01";"";"";"1976-08-01";"";"";"";"";"";""
10828;"Germany";"Bangladesh";"5";"666";"LDCs";3.24526;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-03-01";"";"";"";"";"";""
10833;"Germany";"Lebanon";"5";"555";"UMICs";27.0438;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";0.0;"";"";"";""
10843;"Germany";"Tanzania";"5";"282";"LDCs";12.5754;"";"WATER SUPPLY SCH.IMPROVE.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";"";"";"";"";""
10885;"Germany";"Kenya";"5";"248";"LMICs";5.67921;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.0;"";"";"";""
10890;"Germany";"Egypt";"5";"142";"LMICs";81.1315;0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";8.6662;"";"";"";""
10895;"Germany";"Burundi";"5";"228";"LDCs";3.5157;"";"WATER SUPPLY - GITEGA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-02";"";"";"1977-05-01";"";"";"";"";"";""
10899;"Germany";"Kenya";"5";"248";"LMICs";6.76096;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.0;"";"";"";""
10923;"Germany";"Tanzania";"5";"282";"LDCs";22.3112;"";"WATER SUPPLY SCH.IMPROVE.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";"";"";"";"";""
14314;"Germany";"Tanzania";"5";"282";"LDCs";2.22001;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1978-01-02";"";"";"1978-03-01";"";"";"";"";"";""
