"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"USD_GrantEquiv";"USD_Disbursement_Defl";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
297;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";2.0064;"";"";"";"";"";"";"";""
2693;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";0.450462;"";"";"";"";"";"";"";""
2706;"Germany";"Tanzania";"5";"282";"LDCs";31.1975;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";4.15916;"";"";"";"";"";"";"";""
2715;"Germany";"Bolivia";"5";"428";"LMICs";54.7859;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";1.01506;"";"";"";"";"";"";"";""
5268;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";5.24237;"";"";"";"";"";"";"";""
5271;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";11.6369;"";"";"";"";"";"";"";""
5272;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";20.1097;"";"";"";"";"";"";"";""
5273;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.233314;"";"";"";"";"";"";"";""
5287;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";7.20106;"";"";"";"";"";"";"";""
5301;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";0.34133;"";"";"";"";"";"";"";""
7614;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.375019;"";"";"";"";"";"";"";""
7615;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.38896;"";"";"";"";"";"";"";""
7623;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";40.0727;"";"";"";"";"";"";"";""
7637;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";4.84876;"";"";"";"";"";"";"";""
7691;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";6.31398;"";"";"";"";"";"";"";""
10837;"Germany";"Sudan";"5";"278";"LDCs";"";0.0;"WATER DEVELOPMENT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-01";"";"";"1976-04-01";"";4.55283;"";"";"";"";"";"";"";""
10838;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";8.37412;"";"";"";"";"";"";"";""
