"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
622;"Germany";"Indonesia";"5";"738";"LMICs";7.8483;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1982-06-01";0.0;0.0;154468229.0;1910930.0
1148;"Germany";"Haiti";"5";"349";"LDCs";1.63506;"";"WATER SUPPLY PROVINCIAL TOWNS";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1982-11-01";0.0;0.0;5910227.0;27750.0
1149;"Germany";"Haiti";"5";"349";"LDCs";3.27013;"";"DRINK. WATER & SANITATION, TOWNS";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-12-01";0.0;0.0;5910227.0;27750.0
1208;"Germany";"Somalia";"5";"273";"LDCs";11.9905;"";"WATER SUPP.,PREP. PROJECT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-11-01";0.0;0.0;6608044.0;637660.0
1267;"Germany";"Kenya";"5";"248";"LMICs";1.52606;0.0;"WATER SUPPLY, MALINDI";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1268;"Germany";"Kenya";"5";"248";"LMICs";15.5876;0.0;"WATER SUPPLY KERICHO";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1269;"Germany";"Kenya";"5";"248";"LMICs";14.1705;0.0;"MIN. WATER DEV. WORKSHOP";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1270;"Germany";"Kenya";"5";"248";"LMICs";41.4216;0.0;"BRIDGE-DAM-SYST.,GARSEN";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1504;"Germany";"Côte d'Ivoire";"5";"247";"LMICs";16.3506;0.0;"WATER SUPP.,PROVINCIAL";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-06-01";0.0;0.0;8764989.0;322460.0
1606;"Germany";"Liberia";"5";"251";"LDCs";8.61133;0.0;"WATER SUPPLY, KAKATA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-11-01";0.0;0.0;1989483.0;111370.0
