"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
1267;"Germany";"Kenya";"5";"248";"LMICs";1.52606;0.0;"WATER SUPPLY, MALINDI";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1268;"Germany";"Kenya";"5";"248";"LMICs";15.5876;0.0;"WATER SUPPLY KERICHO";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1269;"Germany";"Kenya";"5";"248";"LMICs";14.1705;0.0;"MIN. WATER DEV. WORKSHOP";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1270;"Germany";"Kenya";"5";"248";"LMICs";41.4216;0.0;"BRIDGE-DAM-SYST.,GARSEN";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;17736326.0;580370.0
1694;"Germany";"Rwanda";"5";"266";"LDCs";4.687180000000001;"";"WATER SUPPLY SYST. MODERNISATION";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;5504842.0;26340.0
8455;"Germany";"Tanzania";"5";"282";"LDCs";2.37515;"";"WATER SUP. SYSTEM, HANDENI DISTRICT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-04-01";0.0;0.0;18538259.0;947300.0
10729;"Germany";"Kenya";"5";"248";"LMICs";10.6882;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-03";"";"";"1980-09-01";0.0;0.0;16417197.0;580370.0
14722;"Germany";"Kenya";"5";"248";"LMICs";11.3998;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-11-01";0.0;0.0;17063876.0;580370.0
18420;"Germany";"India";"5";"645";"LMICs";26.2195;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-12-01";0.0;0.0;715384993.0;3287260.0
19840;"Germany";"Burundi";"5";"228";"LDCs";7.979839999999999;"";"BUJUMBURA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";0.0;0.0;4266520.0;27830.0
19841;"Germany";"Burundi";"5";"228";"LDCs";3.4199300000000004;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";0.0;0.0;4266520.0;27830.0
24057;"Germany";"Tanzania";"5";"282";"LDCs";21.2054;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-05";"";"";"1983-05-01";0.0;0.0;20344547.0;947300.0
24058;"Germany";"Tanzania";"5";"282";"LDCs";1.06027;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-05-01";0.0;0.0;20344547.0;947300.0
24451;"Germany";"Sudan";"5";"278";"LDCs";4.13505;"";"WATER SUPPLY REFUGEE AREA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-04";"";"";"1983-10-01";0.0;0.0;16107620.0;0.0
24664;"Germany";"Egypt";"5";"142";"LMICs";10.0726;0.0;"CAIRO SEWERAGE DISPOSAL";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-07-01";0.0;0.0;46728286.0;1001450.0
25903;"Germany";"Colombia";"5";"437";"UMICs";6.8917600000000006;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-03-01";0.0;0.0;28714190.0;1141750.0
31308;"Germany";"Burundi";"5";"228";"LDCs";21.8314;"";"WATER SUP./BUJUMBURA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-04-01";0.0;0.0;4621103.0;27830.0
